0,1,2,3,4,5,6,7,8,9,10
whole milk,pip fruit,,,,,,,,,
chocolate,brown bread,salty snack,,,,,,,,
whole milk,yogurt,,,,,,,,,
misc. beverages,bottled water,,,,,,,,,
seasonal products,butter,ice cream,,,,,,,,
frankfurter,sausage,margarine,rolls/buns,bottled beer,mustard,,,,,
citrus fruit,whole milk,,,,,,,,,
rolls/buns,white bread,,,,,,,,,
brown bread,frozen meals,cat food,white bread,,,,,,,
flour,bottled water,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
candy,frozen meals,,,,,,,,,
pastry,root vegetables,,,,,,,,,
long life bakery product,shopping bags,,,,,,,,,
frankfurter,brown bread,whole milk,root vegetables,,,,,,,
soda,bottled beer,chicken,yogurt,,,,,,,
root vegetables,flour,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
tropical fruit,ice cream,butter milk,domestic eggs,,,,,,,
tropical fruit,snack products,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
pastry,pip fruit,,,,,,,,,
ham,frankfurter,bottled water,shopping bags,specialty cheese,,,,,,
dessert,butter,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
liquor,bathroom cleaner,,,,,,,,,
syrup,newspapers,processed cheese,rolls/buns,,,,,,,
yogurt,rolls/buns,,,,,,,,,
soda,misc. beverages,,,,,,,,,
hygiene articles,seasonal products,,,,,,,,,
ham,bottled beer,rolls/buns,,,,,,,,
yogurt,yogurt,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
finished products,spread cheese,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
flour,pastry,,,,,,,,,
pip fruit,hamburger meat,brown bread,cream cheese ,curd,,,,,,
root vegetables,curd,,,,,,,,,
dessert,shopping bags,,,,,,,,,
root vegetables,specialty bar,,,,,,,,,
sausage,white bread,,,,,,,,,
meat,other vegetables,margarine,,,,,,,,
butter,margarine,,,,,,,,,
bottled beer,rolls/buns,ice cream,pastry,,,,,,,
berries,rolls/buns,,,,,,,,,
canned fish,shopping bags,,,,,,,,,
rolls/buns,napkins,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
other vegetables,whole milk,canned fruit,,,,,,,,
butter milk,yogurt,,,,,,,,,
ham,rolls/buns,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
other vegetables,liquor,,,,,,,,,
pork,pork,rolls/buns,sparkling wine,,,,,,,
margarine,fruit/vegetable juice,,,,,,,,,
pork,long life bakery product,,,,,,,,,
soda,waffles,,,,,,,,,
soda,other vegetables,dishes,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
pip fruit,hard cheese,bottled water,,,,,,,,
pork,specialty chocolate,,,,,,,,,
sausage,chocolate,specialty chocolate,cocoa drinks,,,,,,,
bottled beer,soda,,,,,,,,,
ice cream,rolls/buns,butter milk,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
pip fruit,citrus fruit,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
whole milk,curd,hygiene articles,,,,,,,,
spread cheese,whole milk,,,,,,,,,
tropical fruit,frozen fish,chewing gum,newspapers,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
curd,newspapers,,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
hamburger meat,tropical fruit,,,,,,,,,
canned beer,whole milk,,,,,,,,,
ice cream,detergent,rolls/buns,,,,,,,,
other vegetables,yogurt,,,,,,,,,
other vegetables,berries,,,,,,,,,
pork,other vegetables,,,,,,,,,
canned beer,frozen meals,beef,canned beer,coffee,,,,,,
specialty bar,soda,,,,,,,,,
root vegetables,chocolate,,,,,,,,,
pork,bottled water,,,,,,,,,
sausage,chicken,canned beer,pip fruit,,,,,,,
white bread,whipped/sour cream,,,,,,,,,
whole milk,soda,,,,,,,,,
newspapers,soda,canned beer,,,,,,,,
bottled beer,tropical fruit,red/blush wine,baking powder,,,,,,,
soda,pastry,,,,,,,,,
whole milk,newspapers,,,,,,,,,
waffles,yogurt,,,,,,,,,
misc. beverages,soft cheese,,,,,,,,,
grapes,other vegetables,,,,,,,,,
frankfurter,baking powder,condensed milk,coffee,,,,,,,
butter,potato products,,,,,,,,,
ham,other vegetables,,,,,,,,,
domestic eggs,rolls/buns,,,,,,,,,
hamburger meat,hard cheese,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
soda,liquor (appetizer),,,,,,,,,
sausage,sliced cheese,ice cream,long life bakery product,,,,,,,
long life bakery product,brown bread,popcorn,,,,,,,,
whole milk,beverages,frozen fruits,fruit/vegetable juice,,,,,,,
semi-finished bread,dish cleaner,,,,,,,,,
butter milk,chocolate,berries,sweet spreads,butter,long life bakery product,napkins,white bread,,,
tropical fruit,other vegetables,,,,,,,,,
pork,other vegetables,,,,,,,,,
whipped/sour cream,margarine,,,,,,,,,
canned fish,rolls/buns,domestic eggs,,,,,,,,
whipped/sour cream,soda,white bread,snack products,,,,,,,
male cosmetics,pastry,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,soda,,,,,,,,,
whole milk,waffles,,,,,,,,,
other vegetables,bottled beer,rolls/buns,shopping bags,,,,,,,
UHT-milk,shopping bags,,,,,,,,,
dog food,pastry,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
meat,rolls/buns,,,,,,,,,
berries,whipped/sour cream,,,,,,,,,
citrus fruit,whole milk,bottled water,roll products ,,,,,,,
sausage,bottled beer,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
citrus fruit,skin care,,,,,,,,,
brown bread,dishes,,,,,,,,,
rolls/buns,sausage,tropical fruit,soda,yogurt,onions,flour,specialty chocolate,whipped/sour cream,,
tropical fruit,citrus fruit,chocolate,,,,,,,,
rolls/buns,soda,,,,,,,,,
chicken,frozen meals,,,,,,,,,
frozen meals,dental care,,,,,,,,,
chocolate,waffles,,,,,,,,,
chicken,whole milk,,,,,,,,,
chicken,whisky,,,,,,,,,
tropical fruit,spices,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
coffee,bottled beer,shopping bags,,,,,,,,
bottled water,curd,domestic eggs,yogurt,newspapers,,,,,,
soda,rice,,,,,,,,,
root vegetables,candy,,,,,,,,,
hamburger meat,root vegetables,fruit/vegetable juice,,,,,,,,
popcorn,butter,,,,,,,,,
beverages,sliced cheese,semi-finished bread,,,,,,,,
whole milk,pastry,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
frankfurter,sausage,pastry,newspapers,newspapers,honey,,,,,
other vegetables,onions,shopping bags,,,,,,,,
soda,candy,,,,,,,,,
sausage,salt,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
tropical fruit,bottled water,semi-finished bread,,,,,,,,
soda,shopping bags,,,,,,,,,
cat food,domestic eggs,,,,,,,,,
margarine,frozen meals,dish cleaner,yogurt,,,,,,,
coffee,sauces,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
white wine,ham,whole milk,coffee,bottled water,,,,,,
candy,yogurt,,,,,,,,,
sausage,pastry,soda,,,,,,,,
shopping bags,salty snack,,,,,,,,,
frankfurter,frankfurter,citrus fruit,semi-finished bread,dishes,whipped/sour cream,,,,,
photo/film,citrus fruit,chewing gum,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
tropical fruit,butter,,,,,,,,,
butter milk,other vegetables,,,,,,,,,
long life bakery product,napkins,,,,,,,,,
whole milk,whole milk,bottled water,,,,,,,,
coffee,whole milk,canned fruit,,,,,,,,
ham,white wine,pasta,,,,,,,,
whole milk,napkins,artif. sweetener,,,,,,,,
whole milk,yogurt,newspapers,,,,,,,,
citrus fruit,hygiene articles,,,,,,,,,
hamburger meat,butter milk,seasonal products,,,,,,,,
sausage,specialty chocolate,bottled water,baking powder,,,,,,,
butter,butter milk,,,,,,,,,
domestic eggs,roll products ,,,,,,,,,
liver loaf,other vegetables,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
soda,pastry,,,,,,,,,
curd,curd,rolls/buns,,,,,,,,
beef,dessert,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
citrus fruit,pot plants,newspapers,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
whipped/sour cream,domestic eggs,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
soda,soda,,,,,,,,,
frozen potato products,bottled beer,,,,,,,,,
beef,grapes,,,,,,,,,
frozen meals,ham,specialty chocolate,roll products ,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
chicken,salty snack,yogurt,,,,,,,,
yogurt,whole milk,,,,,,,,,
butter milk,kitchen towels,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
berries,salty snack,,,,,,,,,
fruit/vegetable juice,baking powder,oil,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
root vegetables,grapes,,,,,,,,,
processed cheese,whole milk,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
whole milk,soda,hygiene articles,canned beer,,,,,,,
whole milk,bottled beer,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
rolls/buns,canned vegetables,,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
root vegetables,soda,,,,,,,,,
pastry,misc. beverages,flour,,,,,,,,
grapes,long life bakery product,,,,,,,,,
sausage,domestic eggs,mayonnaise,soda,,,,,,,
frankfurter,pastry,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
bottled beer,newspapers,,,,,,,,,
specialty chocolate,soda,bathroom cleaner,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
sausage,pip fruit,,,,,,,,,
long life bakery product,pip fruit,oil,,,,,,,,
whole milk,chocolate,,,,,,,,,
butter,bottled beer,canned beer,chewing gum,fruit/vegetable juice,,,,,,
onions,grapes,yogurt,tropical fruit,whole milk,salty snack,root vegetables,frozen dessert,whipped/sour cream,,
root vegetables,newspapers,,,,,,,,,
soda,citrus fruit,,,,,,,,,
pet care,dog food,,,,,,,,,
sliced cheese,newspapers,dog food,fruit/vegetable juice,rolls/buns,butter,hygiene articles,yogurt,,,
root vegetables,whole milk,,,,,,,,,
pastry,canned beer,,,,,,,,,
specialty chocolate,shopping bags,,,,,,,,,
herbs,sugar,,,,,,,,,
soda,soda,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
citrus fruit,sliced cheese,napkins,,,,,,,,
whole milk,yogurt,,,,,,,,,
turkey,misc. beverages,bottled beer,butter,bottled water,margarine,seasonal products,,,,
dishes,pastry,,,,,,,,,
frankfurter,other vegetables,ham,other vegetables,other vegetables,fruit/vegetable juice,rolls/buns,fruit/vegetable juice,rolls/buns,,
tropical fruit,coffee,whole milk,,,,,,,,
ham,dessert,yogurt,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
tropical fruit,mustard,,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
chicken,cream,,,,,,,,,
pastry,other vegetables,,,,,,,,,
margarine,UHT-milk,brown bread,,,,,,,,
sausage,softener,,,,,,,,,
canned beer,hard cheese,,,,,,,,,
yogurt,bottled beer,,,,,,,,,
soda,tropical fruit,,,,,,,,,
chicken,canned beer,,,,,,,,,
whole milk,frozen vegetables,semi-finished bread,,,,,,,,
sliced cheese,skin care,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
tropical fruit,flower soil/fertilizer,flour,specialty bar,,,,,,,
citrus fruit,soda,,,,,,,,,
canned vegetables,pasta,,,,,,,,,
beef,bottled beer,,,,,,,,,
meat,bottled water,,,,,,,,,
butter,bottled water,,,,,,,,,
citrus fruit,butter,rolls/buns,,,,,,,,
rolls/buns,curd,,,,,,,,,
beef,newspapers,bottled beer,,,,,,,,
canned beer,napkins,,,,,,,,,
pastry,shopping bags,,,,,,,,,
root vegetables,spread cheese,,,,,,,,,
frankfurter,grapes,,,,,,,,,
newspapers,hard cheese,,,,,,,,,
frankfurter,pip fruit,hygiene articles,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
berries,ham,,,,,,,,,
butter milk,waffles,,,,,,,,,
berries,soda,bottled beer,,,,,,,,
whole milk,rolls/buns,herbs,beverages,soda,,,,,,
whole milk,pip fruit,,,,,,,,,
sausage,whole milk,,,,,,,,,
frozen potato products,frankfurter,brown bread,roll products ,detergent,,,,,,
hard cheese,pastry,,,,,,,,,
canned beer,whipped/sour cream,pastry,,,,,,,,
soda,pastry,,,,,,,,,
sausage,bottled water,,,,,,,,,
tropical fruit,dessert,,,,,,,,,
rolls/buns,hygiene articles,,,,,,,,,
rolls/buns,nuts/prunes,,,,,,,,,
citrus fruit,yogurt,rolls/buns,,,,,,,,
other vegetables,soda,,,,,,,,,
sausage,soda,,,,,,,,,
chicken,margarine,long life bakery product,,,,,,,,
condensed milk,frankfurter,berries,whole milk,liver loaf,sliced cheese,domestic eggs,rolls/buns,frozen fish,,
misc. beverages,whole milk,onions,yogurt,,,,,,,
UHT-milk,margarine,,,,,,,,,
soft cheese,flower (seeds),,,,,,,,,
other vegetables,pot plants,vinegar,,,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
zwieback,butter,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
flower soil/fertilizer,butter milk,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
jam,cake bar,,,,,,,,,
whole milk,canned beer,,,,,,,,,
herbs,curd,,,,,,,,,
tropical fruit,shopping bags,hard cheese,,,,,,,,
long life bakery product,bottled water,,,,,,,,,
whole milk,flower (seeds),honey,,,,,,,,
tropical fruit,oil,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
dishes,other vegetables,,,,,,,,,
pastry,shopping bags,,,,,,,,,
chicken,flower (seeds),,,,,,,,,
whipped/sour cream,candy,butter,,,,,,,,
other vegetables,whipped/sour cream,whole milk,sugar,,,,,,,
root vegetables,soft cheese,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
hamburger meat,liquor (appetizer),liver loaf,dessert,,,,,,,
spread cheese,brown bread,,,,,,,,,
candles,soda,,,,,,,,,
white bread,whole milk,hygiene articles,,,,,,,,
brown bread,dessert,,,,,,,,,
other vegetables,other vegetables,canned fish,chewing gum,,,,,,,
UHT-milk,specialty cheese,shopping bags,,,,,,,,
other vegetables,dishes,,,,,,,,,
brandy,specialty bar,chocolate,,,,,,,,
other vegetables,salty snack,syrup,newspapers,oil,,,,,,
whole milk,shopping bags,,,,,,,,,
white wine,soda,,,,,,,,,
brown bread,shopping bags,,,,,,,,,
rolls/buns,pork,,,,,,,,,
sausage,packaged fruit/vegetables,,,,,,,,,
rolls/buns,brown bread,canned beer,,,,,,,,
chicken,white bread,,,,,,,,,
other vegetables,pastry,,,,,,,,,
canned beer,other vegetables,fruit/vegetable juice,,,,,,,,
other vegetables,beef,soda,curd,butter,,,,,,
coffee,onions,,,,,,,,,
onions,other vegetables,,,,,,,,,
rolls/buns,oil,fruit/vegetable juice,,,,,,,,
frankfurter,yogurt,,,,,,,,,
whipped/sour cream,chocolate,,,,,,,,,
other vegetables,herbs,,,,,,,,,
cream cheese ,pastry,,,,,,,,,
root vegetables,oil,soda,,,,,,,,
bottled water,chocolate,,,,,,,,,
soda,abrasive cleaner,seasonal products,,,,,,,,
candles,whole milk,,,,,,,,,
white wine,citrus fruit,,,,,,,,,
other vegetables,instant coffee,instant coffee,hygiene articles,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
chocolate,domestic eggs,,,,,,,,,
bottled water,brown bread,,,,,,,,,
chicken,cream cheese ,citrus fruit,chicken,pet care,napkins,condensed milk,specialty chocolate,,,
frankfurter,citrus fruit,,,,,,,,,
canned beer,curd,pastry,,,,,,,,
frankfurter,yogurt,canned beer,,,,,,,,
whole milk,yogurt,pastry,,,,,,,,
bottled water,whole milk,,,,,,,,,
soda,packaged fruit/vegetables,butter milk,,,,,,,,
mayonnaise,domestic eggs,,,,,,,,,
frozen fish,coffee,,,,,,,,,
soap,rum,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
finished products,root vegetables,,,,,,,,,
beef,salty snack,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
pork,coffee,,,,,,,,,
pastry,bottled water,,,,,,,,,
canned beer,hygiene articles,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
tropical fruit,mustard,,,,,,,,,
semi-finished bread,bottled water,,,,,,,,,
frankfurter,margarine,whole milk,soda,margarine,brown bread,margarine,frozen vegetables,,,
whole milk,frankfurter,yogurt,pip fruit,dessert,soda,margarine,,,,
spread cheese,tropical fruit,domestic eggs,bottled water,,,,,,,
margarine,newspapers,,,,,,,,,
frankfurter,ice cream,specialty cheese,coffee,,,,,,,
brown bread,sparkling wine,,,,,,,,,
liver loaf,bottled water,bottled water,,,,,,,,
beef,red/blush wine,,,,,,,,,
tropical fruit,other vegetables,sugar,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
fish,root vegetables,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
coffee,shopping bags,,,,,,,,,
whole milk,newspapers,bottled water,,,,,,,,
coffee,brown bread,whole milk,sweet spreads,,,,,,,
rolls/buns,napkins,,,,,,,,,
dessert,pickled vegetables,,,,,,,,,
tropical fruit,cake bar,soda,cat food,,,,,,,
beverages,whole milk,butter milk,fruit/vegetable juice,,,,,,,
whole milk,shopping bags,yogurt,canned beer,,,,,,,
curd,spices,frozen fish,,,,,,,,
bottled water,soda,,,,,,,,,
onions,vinegar,,,,,,,,,
brown bread,whole milk,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
sausage,canned beer,,,,,,,,,
roll products ,sausage,prosecco,chocolate,,,,,,,
pot plants,organic products,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
whipped/sour cream,seasonal products,,,,,,,,,
soda,curd,soda,,,,,,,,
hamburger meat,beef,bottled beer,whole milk,chocolate,,,,,,
whipped/sour cream,specialty fat,,,,,,,,,
pastry,snack products,,,,,,,,,
whole milk,frozen vegetables,newspapers,,,,,,,,
bottled water,whole milk,whole milk,frozen vegetables,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
canned beer,brown bread,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
citrus fruit,specialty cheese,,,,,,,,,
pork,cake bar,,,,,,,,,
meat,fruit/vegetable juice,,,,,,,,,
vinegar,grapes,frozen vegetables,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
dessert,sliced cheese,bottled beer,other vegetables,,,,,,,
roll products ,soda,,,,,,,,,
root vegetables,berries,other vegetables,hygiene articles,white bread,whipped/sour cream,,,,,
chicken,domestic eggs,,,,,,,,,
dessert,pastry,,,,,,,,,
shopping bags,curd,hard cheese,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
Instant food products,yogurt,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
frozen meals,bottled water,,,,,,,,,
whole milk,dessert,dish cleaner,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
ham,brown bread,,,,,,,,,
whole milk,newspapers,,,,,,,,,
oil,margarine,,,,,,,,,
salt,brown bread,,,,,,,,,
citrus fruit,whipped/sour cream,onions,other vegetables,butter,,,,,,
meat,butter,,,,,,,,,
ham,brown bread,butter,bottled water,,,,,,,
processed cheese,onions,root vegetables,,,,,,,,
ham,rolls/buns,tropical fruit,rolls/buns,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
hard cheese,whole milk,,,,,,,,,
yogurt,butter milk,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
other vegetables,roll products ,,,,,,,,,
pet care,whole milk,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
flower soil/fertilizer,waffles,,,,,,,,,
whole milk,pip fruit,softener,,,,,,,,
sauces,tropical fruit,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
other vegetables,butter,pastry,UHT-milk,,,,,,,
chicken,whole milk,soda,,,,,,,,
bottled beer,soda,,,,,,,,,
frankfurter,rolls/buns,shopping bags,margarine,,,,,,,
citrus fruit,yogurt,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
misc. beverages,dessert,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
beef,pork,,,,,,,,,
tropical fruit,soda,margarine,,,,,,,,
sparkling wine,female sanitary products,,,,,,,,,
frozen meals,sugar,,,,,,,,,
canned beer,newspapers,,,,,,,,,
pork,brown bread,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
salty snack,salty snack,canned fish,,,,,,,,
shopping bags,white wine,,,,,,,,,
UHT-milk,fruit/vegetable juice,,,,,,,,,
root vegetables,dog food,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
napkins,pork,,,,,,,,,
other vegetables,coffee,,,,,,,,,
beef,butter milk,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
domestic eggs,margarine,canned beer,candles,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
dessert,hamburger meat,,,,,,,,,
other vegetables,berries,,,,,,,,,
frankfurter,whole milk,canned fish,yogurt,,,,,,,
whole milk,newspapers,,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
yogurt,newspapers,,,,,,,,,
soda,root vegetables,,,,,,,,,
bottled water,yogurt,,,,,,,,,
margarine,margarine,,,,,,,,,
tropical fruit,citrus fruit,frankfurter,spices,butter milk,UHT-milk,,,,,
white wine,chocolate marshmallow,,,,,,,,,
root vegetables,misc. beverages,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
whole milk,ice cream,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
bottled beer,tropical fruit,bottled water,,,,,,,,
canned vegetables,chicken,rolls/buns,,,,,,,,
meat,detergent,roll products ,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
chicken,white wine,margarine,,,,,,,,
pip fruit,yogurt,whole milk,yogurt,bottled beer,newspapers,,,,,
pip fruit,soda,condensed milk,,,,,,,,
root vegetables,waffles,cream cheese ,,,,,,,,
bottled water,onions,,,,,,,,,
frozen potato products,whole milk,pastry,rolls/buns,candy,bottled beer,,,,,
pastry,grapes,,,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
domestic eggs,hamburger meat,,,,,,,,,
soda,butter,,,,,,,,,
pork,specialty chocolate,,,,,,,,,
processed cheese,tropical fruit,,,,,,,,,
napkins,photo/film,,,,,,,,,
frozen meals,other vegetables,bottled beer,,,,,,,,
butter,yogurt,,,,,,,,,
cat food,tropical fruit,onions,tidbits,,,,,,,
tropical fruit,whole milk,whole milk,,,,,,,,
chicken,citrus fruit,sugar,,,,,,,,
sausage,brown bread,,,,,,,,,
sugar,specialty bar,,,,,,,,,
yogurt,canned fish,pasta,,,,,,,,
whipped/sour cream,frankfurter,rolls/buns,citrus fruit,candy,bottled beer,yogurt,whole milk,,,
beef,cream cheese ,,,,,,,,,
rolls/buns,soups,,,,,,,,,
